timestamp,water_pressure_bar,outdoor_temp_c,circuit_flow_temp_c,energy_manager_state,circuit_state,connected,zone_name,zone_current_temp_c,zone_target_temp_c,zone_humidity_pct,zone_heating_state,dhw_current_temp_c,dhw_target_temp_c,dhw_operation_mode,dhw_current_special_function
2026-04-01 01:56:09,1.6,3.15,44.0,HEATING,HEATING,True,ZONE 1,18.0625,18.0,,,43.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-01 04:40:36,1.6,1.52,42.0,HEATING,HEATING,True,ZONE 1,17.75,18.5,,,40.0,45.0,TIME_CONTROLLED,CYLINDER_BOOST
2026-04-01 06:16:34,1.2,3.02,34.0,STANDBY,STANDBY,True,ZONE 1,18.0625,17.5,,,47.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-01 07:59:35,0.8,6.44,25.5,STANDBY,STANDBY,True,ZONE 1,18.1875,17.5,,,46.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-01 09:04:59,0.7,8.8,22.0,STANDBY,STANDBY,True,ZONE 1,18.1875,17.5,,,46.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-01 10:15:32,0.7,11.64,20.0,STANDBY,STANDBY,True,ZONE 1,18.0,17.5,,,45.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-01 11:13:43,0.7,12.91,19.0,STANDBY,STANDBY,True,ZONE 1,17.9375,17.5,,,45.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-01 12:00:51,0.6,13.23,18.0,HEATING,HEATING,True,ZONE 1,17.75,18.5,,,43.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-01 14:03:19,1.5,13.59,30.5,STANDBY,STANDBY,True,ZONE 1,18.0625,17.5,,,40.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-01 15:39:51,0.7,13.71,24.5,STANDBY,STANDBY,True,ZONE 1,17.9375,17.5,,,38.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-01 16:36:25,0.9,13.07,30.5,STANDBY,STANDBY,True,ZONE 1,17.9375,17.5,,,36.0,45.0,TIME_CONTROLLED,CYLINDER_BOOST
2026-04-01 17:35:38,1.6,11.53,31.0,HEATING,HEATING,True,ZONE 1,18.0625,18.5,,,47.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-01 18:38:19,1.6,10.37,71.5,HEATING,HEATING,True,ZONE 1,18.375,18.5,,,37.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-01 19:44:30,1.6,8.97,39.0,HEATING,HEATING,True,ZONE 1,18.4375,18.5,,,47.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-01 20:25:38,1.7,8.59,36.0,HEATING,HEATING,True,ZONE 1,18.4375,18.5,,,48.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-01 21:06:13,1.6,7.52,39.0,HEATING,HEATING,True,ZONE 1,18.4375,18.5,,,48.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-01 21:56:08,1.6,7.34,38.0,HEATING,HEATING,True,ZONE 1,18.5,18.5,,,47.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-01 22:27:39,1.2,6.85,33.0,STANDBY,STANDBY,True,ZONE 1,18.5,17.5,,,47.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-01 23:03:46,0.9,6.91,29.5,STANDBY,STANDBY,True,ZONE 1,18.25,17.5,,,47.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-01 23:49:47,0.8,5.65,26.5,STANDBY,STANDBY,True,ZONE 1,18.0625,17.5,,,47.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 01:10:43,1.5,4.62,34.5,HEATING,HEATING,True,ZONE 1,17.8125,18.0,,,46.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 03:52:34,0.7,2.77,25.0,STANDBY,STANDBY,True,ZONE 1,17.75,17.5,,,44.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 05:27:10,1.7,2.59,46.0,HEATING,HEATING,True,ZONE 1,18.5,18.5,,,42.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 06:46:41,0.9,4.63,31.0,STANDBY,STANDBY,True,ZONE 1,18.25,17.5,,,41.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 07:51:25,0.7,7.44,26.0,STANDBY,STANDBY,True,ZONE 1,18.625,17.5,,,40.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 08:42:55,0.6,8.97,23.0,STANDBY,STANDBY,True,ZONE 1,18.8125,17.5,,,37.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 09:43:06,1.5,11.24,36.5,HEATING,HEATING,True,ZONE 1,18.8125,19.5,,,37.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 10:35:10,1.6,12.22,40.5,HEATING,HEATING,True,ZONE 1,18.1875,19.5,,,36.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 11:31:34,1.7,13.73,80.0,HEATING,HEATING,True,ZONE 1,18.625,19.5,,,29.5,45.0,TIME_CONTROLLED,CYLINDER_BOOST
2026-04-02 12:08:11,1.7,14.05,34.5,HEATING,HEATING,True,ZONE 1,18.4375,19.5,,,48.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 13:54:44,1.0,14.75,28.0,STANDBY,STANDBY,True,ZONE 1,18.875,18.5,,,47.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 14:45:17,0.8,14.39,25.5,STANDBY,STANDBY,True,ZONE 1,18.625,17.5,,,45.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 15:42:22,0.7,14.26,23.0,STANDBY,STANDBY,True,ZONE 1,18.625,17.5,,,44.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 16:36:31,0.7,13.82,21.5,STANDBY,STANDBY,True,ZONE 1,18.0,17.5,,,43.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 17:33:59,1.5,12.89,29.5,HEATING,HEATING,True,ZONE 1,18.4375,18.5,,,42.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 18:35:18,1.1,11.63,30.0,STANDBY,STANDBY,True,ZONE 1,18.8125,18.5,,,40.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 19:35:48,0.8,11.01,26.0,STANDBY,STANDBY,True,ZONE 1,18.625,18.5,,,39.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 20:19:06,1.5,9.77,36.0,HEATING,HEATING,True,ZONE 1,18.375,18.5,,,39.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 21:00:07,1.1,8.83,28.5,STANDBY,STANDBY,True,ZONE 1,18.625,18.5,,,38.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 21:39:49,0.8,7.98,26.5,STANDBY,STANDBY,True,ZONE 1,18.5,18.5,,,38.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 22:06:16,1.4,7.98,28.0,STANDBY,STANDBY,True,ZONE 1,17.75,17.5,,,38.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 22:50:20,0.8,7.06,25.5,STANDBY,STANDBY,True,ZONE 1,18.25,17.5,,,37.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 23:22:55,0.7,6.14,24.0,STANDBY,STANDBY,True,ZONE 1,18.25,17.5,,,37.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-02 23:56:14,0.7,5.53,22.5,STANDBY,STANDBY,True,ZONE 1,18.1875,17.5,,,37.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-03 01:24:29,1.6,4.51,39.0,HEATING,HEATING,True,ZONE 1,17.9375,18.0,,,46.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-03 04:06:58,1.2,3.07,26.0,HEATING,HEATING,True,ZONE 1,17.75,18.5,,,45.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-03 05:48:40,1.1,5.1,33.0,STANDBY,STANDBY,True,ZONE 1,19.5625,18.5,,,44.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-03 06:55:24,0.8,5.69,27.0,STANDBY,STANDBY,True,ZONE 1,18.5,17.5,,,43.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-03 07:54:38,0.7,10.07,23.5,STANDBY,STANDBY,True,ZONE 1,18.4375,17.5,,,42.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-03 08:40:08,1.0,10.78,23.5,HEATING,HEATING,True,ZONE 1,17.3125,17.5,,,42.0,45.0,TIME_CONTROLLED,REGULAR
2026-04-03 09:37:33,1.3,12.33,29.5,HEATING,HEATING,True,ZONE 1,17.1875,17.5,,,36.5,45.0,TIME_CONTROLLED,REGULAR
2026-04-03 10:26:45,1.5,13.49,30.5,HEATING,HEATING,True,ZONE 1,17.0,17.5,,,36.0,45.0,TIME_CONTROLLED,REGULAR
